Change,Country,Location,Name,NameWoDiacritics,Subdivision,Status,Function,Date,IATA,Coordinates,Remarks
,AF,CWO,Camp Wolverine,Camp Wolverine,ZAB,RQ,--3-----,0907,,3204N 06712E,
,AF,CCN,Chaghcharan,Chaghcharan,,AI,---4----,1307,,3431N 06515E,
,AF,DAZ,Darwaz,Darwaz,,AI,---4----,9601,,,
,AF,DHD,Dehdadi,Dehdadi,BAL,RL,1----6--,1201,,3639N 06659E,
,AF,ISQ,Eslam Qal'eh,Eslam Qal'eh,,RL,--3-----,0601,,3440N 06104E,
,AF,FBD,Faizabad,Faizabad,,AI,---4----,9601,,,
,AF,FAH,Farah,Farah,,AI,---4----,9912,,,
,AF,FRO,FOB Frontenac,FOB Frontenac,KAN,RQ,--3-----,0907,,3137N 06539E,
,AF,RMD,FOB Ramrod,FOB Ramrod,KAN,RQ,--3-----,0907,,3145N 06507E,
,AF,SHK,FOB Shank,FOB Shank,LOG,RQ,--3-----,1307,,3400N 06917E,
,AF,GRG,Gardez,Gardez,,AI,---4----,9912,,,
,AF,GAR,Gardiz,Gardiz,PIA,RL,--3-----,0901,,3335N 06913E,
,AF,GZI,Ghazni,Ghazni,,AI,---4----,9912,,,
,AF,HRT,Hairatan,Hairatan,,RQ,0-------,9705,,,
,AF,HEA,Herat,Herat,,AI,---4----,9601,,,
,AF,JAA,Jalalabad,Jalalabad,,AI,---4----,9912,,,
,AF,KBL,Kabul,Kabul,,AI,--345---,9601,,,
,AF,KMU,Kamu,Kamu,KNR,RQ,--3-----,1001,,3524N 07125E,
,AF,KDH,Kandahar,Kandahar,,AI,--34----,9601,,,
,AF,KHT,Khost,Khost,,AI,---4----,9912,,,
,AF,KHO,Khowst,Khowst,KNR,RL,--3-----,0907,,3512N 07050E,
,AF,KWT,Khowst,Khowst,PIA,RL,--3-----,0907,,3320N 06955E,
,AF,KWH,Khwahan,Khwahan,,AI,---4----,9912,,,
,AF,UND,Kunduz,Kunduz,,AI,---4----,9601,,,
,AF,KUR,Kuran-O-Munjan,Kuran-O-Munjan,,AI,---4----,9912,,,
,AF,LAG,Lashkar Gah,Lashkar Gah,HEL,RL,--3-----,0901,,3135N 06421E,
,AF,MMZ,Maimana,Maimana,,AI,---4----,9601,,,
,AF,MWD,Maiwand,Maiwand,KAN,RL,--3-----,0901,,3144N 06508E,
,AF,MAS,Mashad,Mashad,,RQ,0-------,8910,,,
,AF,MZR,Mazar-i-Sharif,Mazar-i-Sharif,,AI,---4----,0212,,3642N 06706E,
,AF,MEH,Mehtar Lam,Mehtar Lam,LAG,RL,--3-----,1101,,3440N 07012E,
,AF,MEY,Meydan,Meydan,BAL,RL,--3-----,1307,,3654N 06655E,
,AF,IMZ,Nimroz,Nimroz,,AI,---4----,9912,,,
,AF,ORG,Orgun-E Kalan,Orgun-E Kalan,PKA,RL,--3-----,1307,,3254N 06913E,
,AF,PSD,Pasaband,Pasaband,GHO,RL,--3-----,1207,,3341N 06451E,
,AF,PEC,Pol-e Charkhi,Pol-e Charkhi,KAB,RL,--3-----,1701,,3432N 06920E,
,AF,LQN,Qala Nau,Qala Nau,,AI,---4----,9601,,,
,AF,QLT,Qalat,Qalat,,RL,1-3-----,0601,,3206N 06653E,
,AF,QYN,Qal'Eh-Ye Now,Qal'Eh-Ye Now,BDG,RQ,--3-----,1001,,3459N 06307E,
,AF,QAM,Qasim,Qasim,,RQ,-----6--,1007,,3502N 07132E,
,AF,SBF,Sardeh Band,Sardeh Band,,AI,---4----,9912,,,
,AF,SRO,Sharona,Sharona,PKA,RL,-----6--,0901,,3313N 06883E,
,AF,SGA,Sheghnan,Sheghnan,,AI,---4----,9601,,,
,AF,SHE,Sherhan-Bandar,Sherhan-Bandar,,RL,--3-----,0901,,3712N 06905E,
,AF,SDD,Shindand,Shindand,HER,RQ,--3-----,0907,,3318N 06208E,
,AF,SBK,Spin Boldak,Spin Boldak,KAN,RL,--3-----,1307,,3100N 06624E,
,AF,TQN,Taluqan,Taluqan,,AI,---4----,9912,,,
,AF,TKO,Tarin Kowt,Tarin Kowt,URU,RL,--3-----,1307,,3237N 06552E,
,AF,TII,Tirinkot,Tirinkot,,AI,---4----,9601,,,
,AF,TGH,Torghundi,Torghundi,,RQ,0-------,9705,,,
,AF,RKH,Torkham,Torkham,NAN,RL,1-------,0901,,3453N 07155E,
,AF,TOW,Towraghondi,Towraghondi,HER,RL,--3-----,1307,,3515N 06217E,
,AF,URN,Urgoon,Urgoon,,AI,---4----,9912,,,
,AF,URZ,Uruzgan,Uruzgan,,AI,---4----,9601,,,
,AF,ZAJ,Zaranj,Zaranj,,AI,---4----,9912,,,
,AF,ZHA,Zhari Dasht,Zhari Dasht,KAN,RQ,--3-----,1001,,3138N 06531E,
,AG,ANU,Antigua,Antigua,,AI,1---5---,9601,,,
,AG,BBQ,Barbuda,Barbuda,,AI,1-------,9601,,,
,AG,FAM,Falmouth,Falmouth,,RL,1----6--,1107,,1701N 06147W,
,AG,PHM,Parham,Parham,,RL,1----6--,1107,,1705N 06145W,
,AG,SJO,Saint John's,Saint John's,,AI,1-------,1101,,1707N 06151W,
,AI,AXA,Anguilla,Anguilla,,AI,---45---,9601,,,
,AI,BLP,Blowing Point,Blowing Point,,QQ,1-------,8110,,,
,AI,CRH,Crocus Hill,Crocus Hill,,RL,--3-----,0607,,1813N 06304W,
,AI,MBB,Meads Bay Beach,Meads Bay Beach,,RL,1-------,1601,,1810N 06308W,
,AI,RBY,Road Bay,Road Bay,,RL,--3-----,0001,,,
,AI,SOM,Sombrero,Sombrero,,RQ,1-------,0901,,1836N 06328W,
,AI,FOR,The Forest,The Forest,,QQ,1-------,8110,,,
,AI,ROA,The Road,The Road,,QQ,1-------,8110,,,
,AI,VAL,The Valley,The Valley,,RL,--3-----,0201,,1813N 06303W,
,AI,WLL,Wall Blake,Wall Blake,,RL,1--4----,0201,,,
,AL,ARG,Argyrokastro,Argyrokastro,,RQ,--3-----,1001,,4007N 02013E,
,AL,BRT,Berat,Berat,BR,RL,--3--6--,0701,,4043N 01957E,
+,AL,BQE,Bulqizë,Bulqize,09,RL,--3-----,1801,,4129N 02013E,
,AL,BUT,Butrint,Butrint,SR,RQ,1-------,0901,,3945N 02001E,
,AL,DRZ,Durrës,Durres,,RL,1-------,0103,,,
,AL,NPP,Elbasan,Elbasan,EL,RL,-23-----,1101,,4106N 02004E,
,AL,FIE,Fier,Fier,,RL,-23-----,0701,,4044N 01934E,
,AL,FUS,Fushe Arrez,Fushe Arrez,SH,RL,-----6--,0901,,4203N 02001E,
,AL,GOK,Gjirokastër,Gjirokaster,GJ,RL,--3--6--,0701,,4005N 02009E,
,AL,HMR,Himare,Himare,SR,RQ,1-------,0901,,4008N 01943E,
,AL,KRC,Korçë,Korce,KO,RL,--3-----,0501,,4037N 02046E,
,AL,KKU,Kukës,Kukes,KU,RL,--3--6--,1707,,4205N 02025E,
,AL,LZE,Lezhe,Lezhe,LE,RL,--3-----,1601,,4147N 01938E,
,AL,LUS,Lushnjë,Lushnje,LU,RL,--3-----,1301,,4056N 01942E,
,AL,MBR,Mbreshtan,Mbreshtan,01,RL,--3-----,1701,,4042N 01952E,
+,AL,MIL,Milot,Milot,08,RL,--3-----,1801,,4140N 01943E,
,AL,SAR,Sarandë,Sarande,SR,RL,1-------,0212,,3953N 02000E,
,AL,SHG,Shëngjin,Shengjin,LE,RL,1-------,0212,,4148N 01934E,
,AL,SHK,Shkoder,Shkoder,,RL,--3-----,0901,,4204N 01931E,
,AL,SHZ,Shkozet,Shkozet,KA,RL,-----6--,1201,,4162N 01934E,
,AL,TEN,Tenes,Tenes,,RQ,0-------,8910,,,
,AL,TIA,Tirana,Tirana,,AI,---45---,9601,,,
,AL,VOA,Vlorë,Vlore,VL,RL,1-------,1501,,4028N 01929E,
,AL,VOR,Vore,Vore,TR,RL,--3-----,1501,,4123N 01939E,
,AM,ABO,Abovyan,Abovyan,,RL,-2------,0207,,4016N 04447E,
,AM,AHU,Akhuryan,Akhuryan,,QQ,-2------,8012,,,
,AM,A3A,Aparan,Aparan,AG,RL,--3-----,1601,,4035N 04421E,
,AM,ARG,Aragatsotn,Aragatsotn,,RL,-----6--,1107,,4015N 04410E,
,AM,ARA,Ararat,Ararat,,RL,-2------,0207,,3950N 04441E,
,AM,ARV,Armavir,Armavir,,RL,-----6--,1107,,4009N 04401E,
